analysis_type,comparison_id,dataset_id,sample_id,dose_label,role,reference_dataset_id,current_value,current_unit,geometry,wavelength_nm,sample_signal_raw,blank_signal_raw,sample_signal_net,blank_signal_net,sample_signal_gated,blank_signal_gated,sample_above_floor,blank_above_floor,valid_ratio_region,absolute_signal_difference,fractional_signal_loss,transmittance,transmittance_smooth,absorbance,absorbance_smooth,attenuation_coeff_1_per_mm,attenuation_coeff_1_per_mm_smooth,trusted_for_integrals,note,sample_shape_norm,sample_shape_norm_smooth,scattering_signal_raw,scattering_signal_gated,scattering_blank_signal_gated,scattering_signal_net,scattering_shape_norm,scattering_shape_norm_smooth
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,541.2869263,0.09155052155,0.3944143653,0.0917491223346,0.3946656404671,0.0917491223346,0.3946656404671,True,True,True,0.3029165181325,0.7675269571832708,0.23247304281672923,0.22562454414488803,0.6336273999125157,0.6466634772624807,0.14589810055511354,0.14889976829282822,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,541.5123901,0.08952657133,0.3952379823,0.0897251721146,0.3954892574671,0.0897251721146,0.3954892574671,True,True,True,0.3057640853525,0.7731286743684458,0.22687132563155415,0.2256270654848174,0.6442203913205847,0.646652599245445,0.1483372269657569,0.1488972635368414,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,541.737854,0.08901227266,0.3980520964,0.0892108734446,0.3983033715671,0.0892108734446,0.3983033715671,True,True,True,0.3090924981225,0.776022801178897,0.22397719882110298,0.2259470994324749,0.6497961911756537,0.6460275734173999,0.14962110232853693,0.14875334602140217,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,541.9633789,0.08992175758,0.3980184793,0.0901203583646,0.3982697544671,0.0901203583646,0.3982697544671,True,True,True,0.30814939610250003,0.7737203055120657,0.2262796944879343,0.22588976825827128,0.6453544162949564,0.646130893165729,0.148598345865864,0.14877713627263361,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,542.1888428,0.08932054043,0.4020830095,0.0895191412146,0.4023342846671,0.0895191412146,0.4023342846671,True,True,True,0.31281514345249994,0.77750058937018,0.22249941062982007,0.22531278000756222,0.6526711350675707,0.6472562312813467,0.15028308262340917,0.14903625494959352,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,542.4143677,0.09119009972,0.4057372212,0.0913887005046,0.4059884963671,0.0913887005046,0.4059884963671,True,True,True,0.3145997958625,0.774898300512522,0.22510169948747802,0.22537819662823244,0.6476212261223251,0.6471284445040393,0.14912029811757918,0.14900683095674255,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,542.6398926,0.09038488567,0.4033198357,0.0905834864546,0.4035711108671,0.0905834864546,0.4035711108671,True,True,True,0.3129876244125,0.7755451666003168,0.22445483339968317,0.2257392557245552,0.6488710380849618,0.6464356483754665,0.14940807795700048,0.14884730875292895,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,542.8654175,0.09199700505,0.4044689238,0.0921956058346,0.4047201989671,0.0921956058346,0.4047201989671,True,True,True,0.3125245931325,0.7721991487701985,0.22780085122980148,0.22590784487447946,0.6424446574135694,0.6461116723214293,0.14792834912341515,0.14877271050967772,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,543.0909424,0.09112145007,0.4026146829,0.0913200508546,0.4028659580671,0.0913200508546,0.4028659580671,True,True,True,0.31154590721250003,0.7733239827640388,0.22667601723596123,0.2263866667964799,0.6445944266448008,0.6451866071984121,0.14842335178193622,0.14855970639344682,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,543.3164673,0.08966312557,0.4027512968,0.0898617263546,0.4030025719671,0.0898617263546,0.4030025719671,True,True,True,0.3131408456125,0.7770194718212963,0.2229805281787037,0.2266302327219192,0.6517330601525742,0.6447210145850515,0.15006708289187087,0.14845249973235358,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
